BUGULA STAGE,BUGULA RUN,BUGULA LOG10MASS,BUGULA LOG10MR,WATERSIPORA STAGE,WATERSIPORA RUN,WATERSIPORA LOG10MASS,WATERSIPORA LOG10MR
LARVAE,6,1.088069992,-0.13254887,LARVAE,4,1.250603006,-0.053964151
LARVAE,6,1.259391449,0.02569845,LARVAE,4,1.334181885,-0.024639247
LARVAE,6,1.196647704,-0.029845652,LARVAE,4,1.160230994,-0.070354448
LARVAE,6,1.112456147,-0.105648654,LARVAE,4,1.289912635,-0.140030689
LARVAE,7,1.256565019,-0.351900742,LARVAE,4,1.315806917,0.03028724
LARVAE,7,1.162049547,-0.355545845,LARVAE,4,1.302246388,-0.151761866
LARVAE,7,1.097740929,-0.380807333,LARVAE,4,1.332240213,0.072051056
LARVAE,7,1.122083362,-0.345399399,LARVAE,4,1.301081843,-0.007087694
LARVAE,7,1.101131223,-0.115484865,LARVAE,4,1.32376897,-0.072987535
LARVAE,7,1.218228147,-0.348265806,LARVAE,4,1.331379837,-0.130963736
LARVAE,7,1.33602642,-0.221948353,LARVAE,4,1.224924655,-0.211903757
LARVAE,7,1.222152334,-0.055600633,LARVAE,4,1.304229301,-0.016745453
LARVAE,7,1.237721281,0.00654987,LARVAE,5,1.298797608,-0.057870375
LARVAE,7,1.25341276,-0.053798065,LARVAE,5,1.151806272,-0.285226647
LARVAE,7,1.275296529,-0.25540662,LARVAE,5,1.163516367,-0.108731527
LARVAE,7,1.16088179,-0.148184857,LARVAE,5,1.100146522,-0.235797197
LARVAE,7,1.256312261,-0.166162488,LARVAE,5,1.189281639,-0.176636995
LARVAE,8,1.282223238,-0.046887659,LARVAE,5,1.221553723,-0.101387592
LARVAE,8,1.296711326,-0.169727495,LARVAE,5,1.087116169,-0.201481798
LARVAE,8,1.165060078,-0.14158038,LARVAE,5,1.304680093,-0.204036466
LARVAE,8,1.285591579,-0.024912196,LARVAE,5,1.237528187,-0.36267015
LARVAE,8,1.330877631,-0.184536131,LARVAE,5,1.27609689,-0.205907188
LARVAE,8,1.29380763,-0.164407295,LARVAE,5,1.346477994,-0.13778488
LARVAE,8,1.295648166,-0.329967784,LARVAE,5,1.324335705,-0.401684754
LARVAE,8,1.297133524,-0.267672389,LARVAE,5,1.246658978,-0.287003713
LARVAE,8,1.212460146,0.001151651,LARVAE,5,1.323946845,-0.241333101
LARVAE,8,1.203343357,-0.239684096,LARVAE,5,1.120865906,-0.175492641
LARVAE,8,1.285742091,-0.37021735,LARVAE,5,1.32498378,-0.086418466
LARVAE,8,1.224019997,-0.2138772,LARVAE,5,1.352740326,-0.022658258
LARVAE,1,1.251408154,0.019565485,LARVAE,5,1.18943261,-0.082996426
LARVAE,1,0.988871542,-0.225486654,LARVAE,5,1.15723607,-0.082076826
LARVAE,1,1.253798775,-0.122035962,LARVAE,6,1.279523485,-0.161790787
LARVAE,1,1.329827466,-0.115035411,LARVAE,6,1.221559336,-0.178671752
LARVAE,1,1.114889679,-0.10236488,LARVAE,6,1.286796177,-0.106603363
LARVAE,1,1.198052478,-0.029547845,LARVAE,6,1.250708048,-0.982847497
LARVAE,1,1.283148801,0.032684654,LARVAE,6,1.295798179,-0.054747382
LARVAE,1,1.24183673,-0.138518842,LARVAE,6,1.186391112,-0.44900081
LARVAE,1,1.063409708,-0.210139424,LARVAE,6,1.335922533,-0.562829982
LARVAE,1,1.066678216,-0.154235484,LARVAE,6,1.329811994,-0.345582007
LARVAE,1,1.023977888,-0.192548793,LARVAE,6,1.356512036,-0.167881598
LARVAE,2,1.01409737,-0.402334356,LARVAE,6,1.32482185,-0.201134201
LARVAE,2,0.976116305,-0.22214556,LARVAE,6,1.373262515,-0.012639458
LARVAE,2,1.009991756,-0.19543218,LARVAE,6,1.295779217,-0.100934212
LARVAE,2,1.010372878,-0.436780313,LARVAE,6,1.327180574,-0.380349575
LARVAE,2,1.14455517,-0.111930614,LARVAE,6,1.279410353,-0.033588264
LARVAE,2,1.047799166,-0.06248987,LARVAE,6,1.247302459,-0.353992428
LARVAE,2,1.25625051,0.02348679,LARVAE,6,1.330449878,0.03677782
LARVAE,2,1.313877165,0.0843258,LARVAE,6,1.211868394,-0.451605397
LARVAE,2,1.138216895,0.011644054,LARVAE,6,1.253761626,-0.557646122
LARVAE,2,1.02734838,-0.18246579,LARVAE,6,1.284329341,-0.077863699
LARVAE,2,1.106609221,-0.043860484,LARVAE,6,1.356051376,-0.104985802
LARVAE,2,0.992983589,-0.215483211,LARVAE,7,1.291609785,-0.253576815
LARVAE,2,1.064634892,-0.052097655,LARVAE,7,1.36386865,-0.3926547
LARVAE,2,1.248945857,0.026486574,LARVAE,7,1.261546181,-0.171299361
LARVAE,2,1.231271302,0.000782154,LARVAE,7,1.281936645,-0.383308817
LARVAE,2,1.192107671,-0.034525647,LARVAE,7,1.341473342,-0.353606677
LARVAE,3,1.005517843,-0.199846523,LARVAE,7,1.254212499,-0.270340184
LARVAE,3,1.242551207,0.011256984,LARVAE,7,1.324531116,-0.090807195
LARVAE,3,1.016049179,-0.198756247,LARVAE,7,1.27336968,-0.381893658
LARVAE,3,1.090200286,-0.13246985,LARVAE,7,1.254397406,-0.4315468
LARVAE,3,1.228388037,-0.120044613,LARVAE,7,1.221514438,-0.309926727
LARVAE,3,1.164249875,-0.225919795,LARVAE,7,1.311723244,-0.069461524
LARVAE,3,1.204073436,-0.135399545,LARVAE,7,1.180083782,-0.48026547
LARVAE,3,1.163504167,-0.061919234,LARVAE,7,1.357571994,-0.116453562
LARVAE,3,1.090370535,-0.532062994,LARVAE,7,1.237444298,-0.167769904
LARVAE,3,1.092582516,-0.041284359,LARVAE,7,1.342408061,-0.152276078
LARVAE,4,1.24818717,-0.106739993,LARVAE,7,1.308497893,-0.284464726
LARVAE,4,1.200905802,-0.085189716,LARVAE,7,1.336704994,-0.453293871
LARVAE,4,1.266802021,-0.267217787,LARVAE,8,1.178387436,-0.26549814
LARVAE,4,1.191349628,-0.44618357,LARVAE,8,1.302808851,-0.106066103
LARVAE,4,1.241787702,-0.150307515,LARVAE,8,1.25710478,-0.352306918
LARVAE,4,1.191349628,-0.034589825,LARVAE,8,1.311629525,-0.156573994
LARVAE,4,1.215443954,-0.01465287,LARVAE,8,1.241106698,-0.529313354
LARVAE,4,1.241787702,0.009998452,LARVAE,8,1.312285147,-0.171187989
LARVAE,4,1.166864293,-0.440896266,LARVAE,8,1.268134095,-0.225074986
LARVAE,4,1.275423106,-0.170168225,LARVAE,8,1.235333823,-0.361003427
LARVAE,4,1.072480741,-0.171244601,LARVAE,8,1.297064209,-0.255096796
EARLY,1,1.124328311,-0.777927516,LARVAE,8,1.376583371,-0.305006526
EARLY,1,1.168966621,-0.840237313,LARVAE,8,1.36920488,-0.088430552
EARLY,1,1.063869708,-0.768293664,LARVAE,8,1.262533912,-0.23796168
EARLY,1,1.158425942,-0.78537307,LARVAE,8,1.235001956,-0.344985873
EARLY,1,1.103503117,-0.871701461,LARVAE,8,1.267578538,-0.259488842
EARLY,1,1.096279321,-0.729226794,LARVAE,8,1.365510298,-0.636800009
EARLY,1,1.262983961,-0.655536907,LARVAE,8,1.282232473,0.009754797
EARLY,1,1.024390901,-0.767412606,LARVAE,8,1.230169707,-0.283813859
EARLY,1,1.123181094,-0.861995453,LARVAE,8,1.328066801,-0.105278643
EARLY,1,1.035904611,-0.533182156,LARVAE,8,1.174562885,-0.578791135
