Species,Run,Stage,Mass,Metabolic
bugula,1,early,13.314605739018887,0.16675255002968542
bugula,1,early,14.755931177996342,0.1444650149969164
bugula,1,early,11.584297653376165,0.17049291493282423
bugula,1,early,14.402103976480037,0.16391810700220596
bugula,1,early,12.691212530959216,0.13436883104723488
bugula,1,early,12.481860399351403,0.1865405298503078
bugula,1,early,18.322467541194236,0.22103604085569223
bugula,1,early,10.577691607110856,0.1708391468711714
bugula,1,early,13.279480758550516,0.13740563611072676
bugula,1,early,10.861870258961334,0.2929664199371642
bugula,1,early,17.13695060752848,0.13459911209406672
bugula,1,early,12.286725875449676,0.13174654504965552
bugula,1,early,15.394640585427293,0.20667850003418436
bugula,1,early,14.855680004228608,0.2057658568349229
bugula,1,early,10.817207584736181,0.18392282417553954
bugula,1,early,10.428838306285057,0.26287803695278006
bugula,1,early,10.861156386119088,0.08045558092795899
bugula,1,larvae,13.310266651216857,0.8476076231860534
bugula,1,larvae,16.379305339103045,0.4358909748336799
bugula,1,larvae,16.76243010624598,0.8376482123683506
bugula,1,larvae,19.17188904941501,0.7272240399725218
bugula,1,larvae,17.01248961094925,0.9679542187405799
bugula,1,larvae,13.743882765596618,0.7489373591759135
bugula,1,larvae,14.861696292598188,0.8667661711842699
bugula,1,larvae,17.84054651000596,1.0460814117324526
bugula,1,larvae,9.747012925896735,0.5949950408545323
bugula,1,larvae,17.93902251726654,0.755029704415481
bugula,1,larvae,21.371129009798793,0.7672989236810187
bugula,1,larvae,13.02835785520897,0.7900146046966835
bugula,1,larvae,15.778019119704872,0.9342264414917756
bugula,1,larvae,19.193262409488682,1.0781635715093532
bugula,1,larvae,17.451659465397686,0.7269108612781436
bugula,1,larvae,11.572034186886803,0.616397084671235
bugula,1,larvae,11.65945407130095,0.7010750570585219
bugula,1,larvae,10.567637029719245,0.6418761026545928
bugula,1,late,0.16675255002968542,0.576373465511893
bugula,1,late,0.1444650149969164,0.21061842412744466
bugula,1,late,0.17049291493282423,0.2973376673415743
bugula,1,late,0.16391810700220596,0.5746249394560585
bugula,1,late,0.13436883104723488,0.29218801700154906
bugula,1,late,0.1865405298503078,0.48451307237468544
bugula,1,late,0.22103604085569223,0.50970870300582
bugula,1,late,0.1708391468711714,0.29887133810419286
bugula,1,late,0.13740563611072676,0.2370563749968769
bugula,1,late,0.2929664199371642,0.6052137899862059
bugula,1,late,0.13459911209406672,0.35415751606967744
bugula,1,late,0.13174654504965552,0.4920218731068608
bugula,1,late,0.20667850003418436,0.5819018568095484
bugula,1,late,0.2057658568349229,0.45775517207576094
bugula,1,late,0.18392282417553954,0.2791744112957212
bugula,1,late,0.26287803695278006,0.5407228668243853
bugula,1,late,0.08045558092795899,0.24025884889886157
bugula,2,early,12.754510157559903,0.19497681419537785
bugula,2,early,12.528859845064735,0.16886380811675364
bugula,2,early,9.393531866396103,0.20492790111278852
bugula,2,early,12.380717098289665,0.1413650649316548
bugula,2,early,11.611850239298478,0.12410958488128371
bugula,2,early,13.600308164360541,0.12378480390220596
bugula,2,early,12.457785274660072,0.20874478910488642
bugula,2,early,14.985444618483353,0.4304704070722986
bugula,2,early,14.143993822906275,0.15816869412179116
bugula,2,early,12.417389300426507,0.12255214612763608
bugula,2,early,14.735550665017975,0.14527734187266222
bugula,2,early,11.606480471085174,0.12517890290986705
bugula,2,early,13.895470930218371,0.15381166804884522
bugula,2,larvae,18.54282339343035,1.0841066963613022
bugula,2,larvae,9.926299048508534,0.6114348660327895
bugula,2,larvae,12.981846989061095,0.8267336275519247
bugula,2,larvae,11.84205683193396,0.3914362498328146
bugula,2,larvae,18.024028814063737,0.5547751518930252
bugula,2,larvae,17.955365662705397,1.0350981562334947
bugula,2,larvae,16.54177971204123,0.9757781814646069
bugula,2,larvae,12.28128893815579,0.447552009043771
bugula,2,larvae,14.292155739542691,0.40788789985294205
bugula,2,larvae,20.217248441896754,0.818933348955397
bugula,2,larvae,13.231343276388685,0.3924770874502004
bugula,2,larvae,11.354372031719407,0.29145323959304803
bugula,2,larvae,13.875320005104248,0.31920463949621397
bugula,2,larvae,13.603271531845929,0.6807669055146864
bugula,2,larvae,12.02085232722199,0.7369723599365845
bugula,2,larvae,14.691917230304037,0.9638525928605359
bugula,2,larvae,10.32992979626648,0.39597306388841325
bugula,2,larvae,9.464905996549064,0.5995900813926368
bugula,2,larvae,10.23273567794117,0.6376286461922924
bugula,2,larvae,10.241719518558273,0.3657797737939027
bugula,2,larvae,13.949388505163038,0.7728040439476002
bugula,2,larvae,11.163468878737692,0.8659845223754081
bugula,2,larvae,18.04058058629111,1.0555693953159566
bugula,2,larvae,20.600471711590792,1.214299454727403
bugula,2,larvae,13.747283693328301,1.0271740853126385
bugula,2,larvae,10.649969891897737,0.656952863558611
bugula,2,larvae,12.78230632195194,0.903939815455398
bugula,2,larvae,9.839739229236265,0.6088590826424352
bugula,2,larvae,11.60472603325413,0.8869565494973508
bugula,2,larvae,17.73968308488781,1.0628857241791325
bugula,2,larvae,17.03222172104522,1.0018025988723762
bugula,2,larvae,15.563514369783162,0.9235796453674441
bugula,2,late,0.19497681419537785,0.676000283382555
bugula,2,late,0.16886380811675364,0.3298631850007489
bugula,2,late,0.20492790111278852,0.29012986972429217
bugula,2,late,0.1413650649316548,0.2234735118938035
bugula,2,late,0.12410958488128371,0.14808104890459187
bugula,2,late,0.12378480390220596,0.4546587745084864
bugula,2,late,0.20874478910488642,0.2584786739540451
bugula,2,late,0.4304704070722986,0.3651084102399979
bugula,2,late,0.15816869412179116,0.20443625280667688
